CustomerId,Country,SupportRepId,TotalSpent,NumInvoices,NumTracks,AvgInvoiceValue,FavoriteGenre,FirstPurchase,LastPurchase,RecencyDays,TenureDays,RecencyScore
28,Denmark,4,35.66,8,34,4.46,Rock,2021-11-23,2024-07-09,175,959,0
29,Italy,5,27.94,9,27,3.1,Latin,2021-05-01,2024-01-28,338,1002,0
30,USA,3,34.27,12,33,2.86,Reggae,2019-07-19,2021-07-21,1259,733,2
31,Brazil,3,4.33,2,4,2.16,Alternative & Punk,2023-03-30,2024-06-12,202,440,0
32,France,4,16.13,7,13,2.3,Jazz,2019-09-26,2022-05-24,952,971,2
33,Ireland,4,6.06,1,5,6.06,Jazz,2021-08-13,2023-05-14,597,639,1
34,USA,4,42.66,12,38,3.56,R&B/Soul,2018-03-29,2020-08-23,1591,878,2
35,India,3,34.91,12,34,2.91,Rock,2017-01-21,2020-01-16,1811,1090,2
36,Canada,3,19.09,3,18,6.36,Rock,2021-06-29,2024-04-05,270,1011,0
37,USA,4,12.39,3,12,4.13,Latin,2017-08-03,2020-06-06,1669,1038,2
38,Finland,5,4.24,2,4,2.12,Rock,2017-08-23,2020-06-21,1654,1033,2
39,Germany,4,17.62,5,17,3.52,Latin,2019-11-18,2022-03-04,1033,837,2
40,Germany,4,23.61,7,23,3.37,Alternative & Punk,2021-08-10,2024-07-23,161,1078,0
41,France,5,64.02,12,62,5.34,Latin,2021-01-15,2024-01-13,353,1093,0
42,Canada,4,3.07,1,3,3.07,Rock,2018-01-12,2020-01-04,1823,722,2
43,USA,3,7.98,5,8,1.6,Hip Hop/Rap,2020-02-08,2022-12-13,749,1039,2
44,USA,4,41.2,15,40,2.75,Alternative & Punk,2018-01-24,2020-09-30,1553,980,2
45,United Kingdom,5,20.1,5,19,4.02,Latin,2021-07-24,2024-06-08,206,1050,0
46,France,3,19.3,7,18,2.76,Alternative & Punk,2017-09-25,2020-08-20,1594,1060,2
47,Canada,3,55.11,12,53,4.59,Rock,2021-02-20,2023-12-28,369,1041,1
48,Canada,5,10.28,3,10,3.43,Rock,2019-07-19,2022-05-03,973,1019,2
49,Canada,5,11.97,6,12,2.0,Rock,2018-11-26,2021-10-15,1173,1054,2
50,Germany,3,6.02,4,6,1.5,Rock,2019-11-28,2022-10-17,806,1054,2
51,USA,5,4.37,2,4,2.18,Rock,2022-04-24,2024-12-12,19,963,0
52,Czech Republic,4,14.94,2,13,7.47,Blues,2018-01-03,2020-04-02,1734,820,2
53,Canada,3,23.92,9,23,2.66,Pop,2018-04-06,2021-02-11,1419,1042,2
54,Germany,5,10.16,3,10,3.39,Rock,2021-09-12,2024-05-22,223,983,0
55,Canada,5,36.63,11,35,3.33,Rock,2018-03-13,2021-02-21,1409,1076,2
56,France,4,3.2,2,3,1.6,Rock,2019-09-06,2021-03-14,1388,555,2
57,United Kingdom,3,10.37,3,10,3.46,Alternative & Punk,2017-04-22,2020-04-13,1723,1087,2
58,Hungary,3,20.67,6,19,3.44,Metal,2022-06-10,2024-03-28,278,657,0
59,Canada,5,23.6,3,21,7.87,Easy Listening,2020-02-11,2022-12-09,753,1032,2
60,Canada,3,45.09,14,42,3.22,Rock,2019-09-08,2022-07-03,912,1029,2
61,Germany,5,20.19,5,19,4.04,Metal,2022-04-22,2024-07-10,174,810,0
62,Finland,5,4.05,2,4,2.02,Latin,2021-10-05,2023-09-17,471,712,1
63,Other,3,5.35,2,4,2.68,Classical,2019-01-29,2021-09-03,1215,948,2
64,Canada,5,26.54,9,25,2.95,Pop,2021-12-10,2024-04-16,259,858,0
65,Czech Republic,5,62.86,20,60,3.14,Rock,2019-06-15,2022-05-24,952,1074,2
66,United Kingdom,4,23.67,5,19,4.73,Jazz,2021-07-13,2024-04-12,263,1004,0
67,United Kingdom,5,2.34,1,2,2.34,Jazz,2019-12-22,2022-09-16,837,999,2
68,France,5,23.81,9,23,2.65,Rock,2018-08-08,2021-07-16,1264,1073,2
69,United Kingdom,3,23.16,4,22,5.79,Rock,2020-04-18,2022-12-17,745,973,2
70,Austria,3,19.72,4,16,4.93,Jazz,2020-05-10,2022-10-22,801,895,2
71,Belgium,3,5.15,1,5,5.15,Rock,2023-08-03,2023-12-31,366,150,1
72,Canada,3,6.86,4,7,1.72,Rock,2019-03-28,2021-09-23,1195,910,2
73,USA,4,7.43,4,7,1.86,Alternative & Punk,2022-07-10,2024-11-03,58,847,0
74,France,4,48.04,17,46,2.83,Rock,2018-09-22,2021-07-03,1277,1015,2
75,France,5,22.07,4,21,5.52,Latin,2019-09-10,2022-09-08,845,1094,2
76,Brazil,5,41.03,9,40,4.56,Alternative & Punk,2018-06-08,2021-03-28,1374,1024,2
77,Austria,3,39.8,16,39,2.49,Rock,2021-07-11,2024-06-25,189,1080,0
78,India,4,38.81,11,37,3.53,Rock,2018-05-25,2021-04-05,1366,1046,2
79,Netherlands,5,30.51,9,26,3.39,Easy Listening,2017-12-19,2020-09-16,1567,1002,2
80,Germany,4,25.16,7,24,3.59,Rock,2021-11-04,2024-06-02,212,941,0
81,USA,5,36.26,12,35,3.02,Alternative & Punk,2021-02-18,2023-10-24,434,978,1
82,Denmark,4,8.33,1,8,8.33,Alternative & Punk,2018-04-01,2021-02-24,1406,1060,2
83,Canada,3,21.91,4,21,5.48,Alternative & Punk,2020-12-08,2022-12-17,745,739,2
84,USA,3,3.14,2,3,1.57,Rock,2021-09-23,2022-11-13,779,416,2
85,Denmark,3,34.46,10,28,3.45,Jazz,2019-03-14,2021-09-27,1191,928,2
86,USA,5,41.35,11,36,3.76,Blues,2020-12-04,2023-10-12,446,1042,1
87,Germany,3,9.48,5,7,1.9,Classical,2017-09-27,2020-01-14,1813,839,2
88,Canada,3,9.42,3,9,3.14,Metal,2019-03-25,2020-10-18,1535,573,2
89,Norway,5,46.02,10,45,4.6,Rock,2017-10-23,2020-05-07,1699,927,2
90,Germany,3,13.51,6,13,2.25,Rock,2017-08-20,2020-02-14,1782,908,2
91,USA,5,81.06,20,78,4.05,Alternative & Punk,2018-06-07,2021-05-18,1323,1076,2
92,Norway,5,25.91,10,25,2.59,Latin,2021-09-01,2023-11-11,416,801,1
93,USA,5,10.32,7,10,1.47,Metal,2021-02-13,2023-08-26,493,924,1
94,United Kingdom,3,17.16,4,17,4.29,Metal,2019-12-26,2022-06-02,943,889,2
95,Germany,3,14.14,5,14,2.83,Rock,2018-07-04,2021-02-27,1403,969,2
96,USA,5,15.38,5,13,3.08,Blues,2018-03-23,2020-07-17,1628,847,2
97,Austria,5,41.08,7,33,5.87,Jazz,2018-04-23,2020-10-28,1525,919,2
98,United Kingdom,4,31.49,12,30,2.62,Alternative & Punk,2017-07-18,2020-03-17,1750,973,2
99,USA,3,12.49,5,12,2.5,Rock,2022-02-19,2024-09-10,112,934,0
100,Germany,3,4.19,1,4,4.19,Rock,2023-04-01,2024-09-11,111,529,0
101,USA,3,15.57,3,15,5.19,Alternative & Punk,2023-07-18,2024-10-21,71,461,0
102,France,4,42.38,11,40,3.85,Latin,2019-08-28,2022-07-29,886,1066,2
103,USA,5,10.17,3,10,3.39,Rock,2022-05-25,2024-04-11,264,687,0
104,United Kingdom,5,28.0,8,27,3.5,Alternative & Punk,2017-06-05,2020-05-25,1681,1085,2
105,France,3,52.68,20,51,2.63,Rock,2021-02-13,2024-02-05,330,1087,0
106,Germany,5,18.28,6,16,3.05,Blues,2018-05-08,2021-02-17,1413,1016,2
107,Other,3,20.89,7,20,2.98,Rock,2018-03-04,2020-07-23,1622,872,2
108,Austria,5,27.96,10,26,2.8,Rock,2021-05-14,2024-01-27,339,988,0
109,USA,5,42.31,11,32,3.85,Classical,2017-06-21,2020-04-21,1715,1035,2
110,Brazil,5,2.9,1,3,2.9,Alternative & Punk,2021-11-24,2022-07-15,900,233,2
111,Canada,4,8.3,5,8,1.66,Alternative & Punk,2020-02-22,2023-01-26,705,1069,1
112,USA,3,50.0,10,37,5.0,Classical,2021-03-11,2024-01-07,359,1032,0
113,Netherlands,5,9.92,3,9,3.31,Rock,2020-10-27,2023-08-24,495,1031,1
114,Hungary,3,27.15,9,26,3.02,Latin,2020-10-17,2022-12-06,756,780,2
115,India,4,28.22,9,27,3.14,Rock,2022-02-19,2024-08-26,127,919,0
116,Germany,4,25.97,8,24,3.25,Latin,2018-04-08,2021-03-29,1373,1086,2
117,USA,3,14.25,7,14,2.04,Metal,2017-12-12,2020-12-08,1484,1092,2
118,USA,4,22.95,7,17,3.28,Classical,2019-10-04,2022-04-14,992,923,2
119,Brazil,3,29.87,8,29,3.73,Metal,2021-12-30,2024-03-09,297,800,0
120,Canada,3,7.5,2,6,3.75,Jazz,2018-12-18,2020-07-23,1622,583,2
121,Germany,4,12.16,6,12,2.03,Latin,2019-12-16,2022-05-27,949,893,2
122,Norway,3,16.99,7,16,2.43,Reggae,2018-08-20,2021-06-23,1287,1038,2
123,Denmark,5,7.87,2,6,3.93,Classical,2020-12-15,2023-11-02,425,1052,1
124,Czech Republic,3,25.17,5,24,5.03,Pop,2018-06-30,2021-03-24,1378,998,2
125,France,4,80.85,15,60,5.39,Classical,2019-11-06,2022-09-24,829,1053,2
126,Finland,3,47.96,11,46,4.36,Metal,2021-05-16,2024-05-05,240,1085,0
127,USA,4,7.38,3,7,2.46,Rock,2022-07-05,2024-05-28,217,693,0
128,Canada,5,1.17,1,1,1.17,Latin,2018-01-21,2020-03-18,1749,787,2
129,France,4,11.94,3,12,3.98,Alternative & Punk,2021-03-21,2023-12-28,369,1012,1
130,USA,4,29.68,7,28,4.24,Rock,2021-06-20,2024-05-15,230,1060,0
131,India,4,22.11,8,21,2.76,Hip Hop/Rap,2021-02-12,2023-10-27,431,987,1
132,USA,4,29.79,6,26,4.96,Blues,2019-03-01,2021-02-27,1403,729,2
133,Belgium,3,13.05,4,13,3.26,Latin,2021-01-04,2023-12-01,396,1061,1
134,Czech Republic,4,3.89,1,4,3.89,Latin,2019-01-15,2021-07-26,1254,923,2
135,USA,3,20.25,8,20,2.53,Rock,2020-06-18,2023-02-11,689,968,1
136,Norway,4,27.51,10,27,2.75,Rock,2017-10-26,2020-09-05,1578,1045,2
137,Portugal,5,1.86,2,2,0.93,Pop,2023-01-09,2024-03-15,291,431,0
138,USA,5,34.28,9,30,3.81,R&B/Soul,2017-05-13,2020-04-20,1716,1073,2
139,Canada,3,45.55,15,45,3.04,Rock,2019-12-08,2022-12-07,755,1095,2
140,India,4,4.96,3,5,1.65,Rock,2021-09-18,2024-05-07,238,962,0
141,Other,4,33.1,6,27,5.52,Jazz,2021-09-28,2024-04-28,247,943,0
142,Germany,3,18.96,8,18,2.37,Latin,2018-08-05,2021-05-24,1317,1023,2
143,USA,4,11.92,5,12,2.38,Rock,2018-11-02,2021-10-24,1164,1087,2
144,Czech Republic,5,21.59,8,21,2.7,Alternative & Punk,2021-08-27,2024-08-04,149,1073,0
145,Brazil,3,14.42,6,14,2.4,Reggae,2020-04-17,2022-08-16,868,851,2
146,Germany,5,49.44,17,43,2.91,Blues,2020-03-28,2023-03-26,646,1093,1
147,Norway,5,4.96,2,4,2.48,Jazz,2022-11-29,2024-08-05,148,615,0
148,Netherlands,4,51.7,17,50,3.04,Rock,2019-05-26,2022-05-03,973,1073,2
149,Denmark,4,24.15,9,23,2.68,Rock,2021-04-01,2023-11-21,406,964,1
150,Canada,4,12.41,6,12,2.07,Reggae,2018-04-26,2021-04-18,1353,1088,2
151,Canada,5,23.04,4,22,5.76,Rock,2019-05-18,2021-07-18,1262,792,2
152,USA,5,16.77,6,13,2.8,Jazz,2017-10-08,2020-10-03,1550,1091,2
153,Canada,3,22.53,8,20,2.82,Blues,2018-09-22,2020-09-26,1557,735,2
154,Chile,5,8.73,5,8,1.75,Latin,2020-03-07,2022-09-30,823,937,2
155,United Kingdom,3,20.21,6,16,3.37,Jazz,2020-01-05,2022-12-02,760,1062,2
156,Brazil,3,2.05,1,2,2.05,Alternative & Punk,2021-03-30,2024-01-19,347,1025,0
157,Italy,3,70.58,18,57,3.92,Jazz,2019-08-28,2022-03-16,1021,931,2
158,Belgium,4,49.13,12,47,4.09,Rock,2021-07-24,2024-03-14,292,964,0
159,Canada,5,41.04,13,39,3.16,Rock,2019-03-03,2021-11-13,1144,986,2
160,Belgium,3,5.76,2,5,2.88,Blues,2019-08-26,2022-06-27,918,1036,2
161,Hungary,4,10.25,5,10,2.05,Rock,2017-11-28,2020-10-20,1533,1057,2
162,Brazil,4,1.94,2,2,0.97,Alternative & Punk,2018-05-18,2020-02-16,1780,639,2
163,Canada,4,33.29,11,32,3.03,Rock,2020-11-18,2023-10-06,452,1052,1
164,Portugal,4,5.3,2,5,2.65,Rock,2021-03-14,2023-11-02,425,963,1
165,France,5,16.93,2,14,8.46,Jazz,2019-04-24,2021-11-07,1150,928,2
166,Canada,5,53.94,19,52,2.84,Latin,2019-08-04,2022-04-26,980,996,2
167,Portugal,3,21.56,8,21,2.7,Metal,2020-10-10,2023-02-11,689,854,1
168,Denmark,5,29.65,8,28,3.71,Rock,2018-10-20,2021-07-05,1275,989,2
169,USA,5,7.15,1,6,7.15,Jazz,2022-07-01,2024-03-14,292,622,0
170,Other,5,36.64,9,27,4.07,Classical,2017-04-26,2020-02-25,1771,1035,2
171,Denmark,4,1.95,2,2,0.98,Rock,2023-08-03,2024-03-27,279,237,0
172,Canada,5,38.61,11,34,3.51,Blues,2018-05-03,2021-04-23,1348,1086,2
173,USA,5,4.11,3,4,1.37,Pop,2023-06-21,2024-09-07,115,444,0
174,United Kingdom,3,9.7,3,7,3.23,Classical,2018-12-21,2020-08-15,1599,603,2
175,India,3,7.1,3,7,2.37,Rock,2022-10-28,2024-05-17,228,567,0
176,Netherlands,3,18.97,7,18,2.71,Alternative & Punk,2020-11-10,2023-08-14,505,1007,1
177,France,3,17.14,4,15,4.28,R&B/Soul,2020-04-29,2023-01-11,720,987,1
178,Germany,5,3.24,2,3,1.62,Hip Hop/Rap,2018-11-20,2021-01-26,1435,798,2
179,USA,5,56.03,13,54,4.31,Alternative & Punk,2018-01-26,2021-01-23,1438,1093,2
180,USA,5,19.76,5,19,3.95,Rock,2020-09-14,2023-06-08,572,997,1
181,United Kingdom,4,17.24,5,15,3.45,Blues,2019-05-18,2022-05-07,969,1085,2
182,Netherlands,4,41.63,10,40,4.16,Rock,2019-01-21,2021-08-06,1243,928,2
183,United Kingdom,3,5.2,2,5,2.6,Alternative & Punk,2021-12-14,2023-03-29,643,470,1
184,Brazil,4,36.33,11,35,3.3,Rock,2021-06-28,2024-02-16,319,963,0
185,Canada,5,18.09,5,16,3.62,Blues,2020-07-19,2023-06-08,572,1054,1
186,Italy,5,28.38,8,27,3.55,Alternative & Punk,2018-05-09,2021-03-05,1397,1031,2
187,United Kingdom,5,34.51,9,33,3.83,Rock,2020-05-18,2023-01-13,718,970,1
188,USA,5,33.92,8,29,4.24,Easy Listening,2018-03-29,2020-09-16,1567,902,2
189,USA,5,16.35,5,16,3.27,Rock,2022-03-20,2024-09-18,104,913,0
190,Finland,3,25.13,8,24,3.14,Latin,2021-08-14,2024-01-06,360,875,0
191,United Kingdom,3,15.62,7,15,2.23,Rock,2020-05-14,2023-02-12,688,1004,1
192,Brazil,3,13.72,4,11,3.43,Jazz,2017-05-25,2020-02-28,1768,1009,2
193,Canada,3,21.23,9,21,2.36,Alternative & Punk,2019-03-17,2021-10-16,1172,944,2
194,Belgium,3,19.89,6,19,3.32,Latin,2017-08-17,2020-07-28,1617,1076,2
195,USA,5,4.14,1,4,4.14,Rock,2019-07-12,2020-10-18,1535,464,2
196,India,3,26.67,8,26,3.33,Rock,2021-06-19,2024-05-05,240,1051,0
197,Chile,5,1.17,1,1,1.17,Rock,2019-06-21,2020-01-09,1818,202,2
198,Netherlands,4,13.74,5,12,2.75,R&B/Soul,2019-08-04,2022-01-20,1076,900,2
199,USA,4,15.98,6,15,2.66,Metal,2019-01-11,2021-08-03,1246,935,2
200,Portugal,5,14.66,6,14,2.44,Hip Hop/Rap,2018-09-06,2020-12-11,1481,827,2
201,Canada,3,5.78,3,5,1.93,Blues,2017-11-24,2020-09-07,1576,1018,2
202,Brazil,3,0.94,1,1,0.94,Rock,2020-04-24,2022-02-22,1043,669,2
203,United Kingdom,3,64.05,18,63,3.56,Rock,2020-10-16,2023-09-15,473,1064,1
204,Norway,3,54.02,20,43,2.7,Jazz,2020-06-21,2023-06-13,567,1087,1
205,Portugal,3,31.34,10,30,3.13,Rock,2017-11-30,2020-08-20,1594,994,2
206,Brazil,5,9.38,3,9,3.13,Rock,2018-07-02,2020-09-07,1576,798,2
207,USA,5,76.67,16,72,4.79,Metal,2017-12-20,2020-08-19,1595,973,2
208,Italy,5,6.1,4,6,1.52,Pop,2020-11-02,2023-06-07,573,947,1
209,Chile,5,38.5,8,37,4.81,Rock,2017-09-17,2020-08-28,1586,1076,2
210,Chile,5,63.75,13,61,4.9,Alternative & Punk,2021-09-17,2024-07-16,168,1033,0
211,Hungary,5,27.47,8,26,3.43,Rock,2021-08-09,2023-10-25,433,807,1
212,France,3,34.96,10,34,3.5,Rock,2018-02-28,2020-11-29,1493,1005,2
213,Netherlands,5,29.15,7,28,4.16,Metal,2019-10-12,2022-05-20,956,951,2
214,France,5,66.84,18,64,3.71,Alternative & Punk,2020-08-24,2023-05-17,594,996,1
215,Czech Republic,3,75.96,16,56,4.75,Classical,2020-09-19,2023-06-27,553,1011,1
216,Canada,4,66.96,13,53,5.15,Jazz,2019-01-20,2022-01-08,1088,1084,2
217,USA,5,14.44,4,14,3.61,Reggae,2020-12-14,2023-04-28,613,865,1
218,Other,5,16.26,3,16,5.42,Metal,2020-09-27,2023-09-24,464,1092,1
219,France,3,3.12,1,3,3.12,Rock,2022-01-24,2022-07-02,913,159,2
220,Brazil,4,2.27,1,2,2.27,Latin,2020-06-24,2023-04-11,630,1021,1
221,Portugal,5,12.46,4,12,3.12,Pop,2019-07-03,2022-05-03,973,1035,2
222,Ireland,4,7.2,3,7,2.4,Rock,2020-04-10,2023-03-16,656,1070,1
223,Germany,4,2.09,1,2,2.09,Rock,2023-05-25,2024-12-25,6,580,0
224,Brazil,4,47.75,13,46,3.67,Rock,2017-07-20,2020-05-18,1688,1033,2
225,USA,4,19.54,4,19,4.88,Metal,2020-07-01,2021-06-10,1300,344,2
226,Germany,5,34.6,6,33,5.77,Rock,2021-05-22,2024-03-20,286,1033,0
227,Germany,4,5.32,1,4,5.32,Classical,2020-10-11,2021-12-20,1107,435,2
228,Germany,4,36.39,12,35,3.03,Rock,2021-02-01,2023-12-01,396,1033,1
229,India,5,8.31,1,7,8.31,Blues,2021-12-21,2023-12-23,374,732,1
230,USA,5,5.94,4,6,1.48,Metal,2021-09-28,2023-12-18,379,811,1
231,Portugal,3,9.48,3,9,3.16,Alternative & Punk,2019-08-25,2020-05-13,1693,262,2
232,Brazil,5,8.68,2,8,4.34,Rock,2022-05-29,2024-12-13,18,929,0
233,Portugal,4,33.51,12,33,2.79,Latin,2019-12-01,2022-11-25,767,1090,2
234,Canada,3,34.99,9,31,3.89,R&B/Soul,2021-11-28,2024-05-21,224,905,0
235,Austria,4,35.45,8,34,4.43,Rock,2020-05-27,2023-04-12,629,1050,1
236,Brazil,4,25.73,8,23,3.22,Blues,2022-04-14,2024-07-11,173,819,0
237,Canada,4,25.99,9,25,2.89,Rock,2018-05-23,2021-05-06,1335,1079,2
238,India,5,31.28,11,31,2.84,Alternative & Punk,2019-02-25,2022-02-05,1060,1076,2
239,Finland,5,9.8,3,10,3.27,Rock,2021-04-29,2022-11-16,776,566,2
240,Czech Republic,5,17.22,5,15,3.44,Easy Listening,2022-03-17,2024-02-24,311,709,0
241,India,4,48.59,12,39,4.05,Jazz,2019-05-22,2021-11-28,1129,921,2
242,France,4,19.67,5,19,3.93,Rock,2020-10-04,2023-09-12,476,1073,1
243,Brazil,4,26.65,8,21,3.33,Jazz,2018-03-09,2021-02-17,1413,1076,2
244,France,3,14.98,2,14,7.49,Pop,2023-06-07,2024-12-18,13,560,0
245,France,3,9.35,5,9,1.87,Rock,2020-03-31,2022-11-02,790,946,2
246,Brazil,5,6.02,4,6,1.5,Rock,2021-01-16,2023-09-07,481,964,1
247,Brazil,3,50.33,18,49,2.8,Latin,2020-10-12,2023-10-07,451,1090,1
248,USA,5,9.53,4,9,2.38,Rock,2021-09-23,2023-11-27,400,795,1
249,United Kingdom,5,57.51,18,55,3.2,Rock,2021-02-26,2023-12-14,383,1021,1
250,Brazil,5,13.54,3,13,4.51,Latin,2021-06-02,2024-02-14,321,987,0
251,USA,4,40.74,17,39,2.4,Rock,2018-04-16,2021-02-04,1426,1025,2
252,USA,5,29.15,10,28,2.92,Latin,2018-09-15,2021-09-10,1208,1091,2
253,United Kingdom,3,32.07,12,28,2.67,R&B/Soul,2017-09-23,2020-06-12,1663,993,2
254,France,3,60.31,14,44,4.31,Classical,2017-03-03,2020-02-22,1774,1086,2
255,Czech Republic,5,15.2,4,12,3.8,Jazz,2017-09-11,2020-09-09,1574,1094,2
256,Chile,3,0.92,1,1,0.92,Latin,2019-10-20,2021-04-02,1369,530,2
257,USA,5,12.67,5,12,2.53,Rock,2021-04-04,2023-04-27,614,753,1
258,Germany,4,26.34,7,25,3.76,Rock,2017-04-01,2020-01-19,1808,1023,2
259,Belgium,5,16.27,6,14,2.71,R&B/Soul,2019-10-30,2022-03-13,1024,865,2
260,Denmark,4,15.13,6,12,2.52,Jazz,2020-12-18,2023-09-02,486,988,1
261,USA,4,1.17,1,1,1.17,Rock,2021-08-26,2022-08-28,856,367,2
262,USA,4,35.22,13,34,2.71,Metal,2020-08-03,2023-04-30,611,1000,1
263,Germany,5,15.55,4,13,3.89,Jazz,2019-07-15,2020-09-11,1572,424,2
264,USA,5,2.07,2,2,1.03,Hip Hop/Rap,2018-04-26,2020-01-01,1826,615,2
265,Finland,5,30.92,9,30,3.44,Rock,2019-07-26,2022-06-30,915,1070,2
266,USA,4,21.71,9,19,2.41,Easy Listening,2019-02-23,2022-02-15,1050,1088,2
267,Germany,4,2.1,1,2,2.1,Rock,2022-11-08,2023-05-29,582,202,1
268,Italy,4,47.06,12,44,3.92,Latin,2021-07-16,2024-07-08,176,1088,0
269,Czech Republic,5,8.81,2,7,4.4,Jazz,2018-12-22,2021-12-07,1120,1081,2
270,USA,3,6.38,3,6,2.13,Latin,2020-07-06,2022-11-18,774,865,2
271,Ireland,4,18.02,6,16,3.0,R&B/Soul,2018-12-20,2021-09-04,1214,989,2
272,Canada,4,18.16,8,18,2.27,Rock,2018-02-21,2021-02-08,1422,1083,2
273,USA,5,53.84,19,52,2.83,Latin,2019-01-17,2021-11-09,1148,1027,2
274,Canada,3,35.09,12,34,2.92,Rock,2017-04-01,2020-01-02,1825,1006,2
275,Czech Republic,5,23.13,6,22,3.86,Reggae,2019-03-30,2021-12-12,1115,988,2
276,USA,3,4.26,3,4,1.42,Rock,2020-06-11,2023-04-27,614,1050,1
277,Canada,3,36.85,13,35,2.83,Rock,2017-12-20,2020-12-16,1476,1092,2
278,India,3,12.4,2,12,6.2,Rock,2021-08-29,2024-02-03,332,888,0
279,Norway,3,1.11,1,1,1.11,Jazz,2019-08-03,2020-05-22,1684,293,2
280,Canada,4,24.45,8,24,3.06,Reggae,2017-08-11,2020-07-24,1621,1078,2
281,United Kingdom,3,66.85,19,64,3.52,Rock,2017-09-16,2020-07-29,1616,1047,2
282,USA,3,3.88,1,4,3.88,Latin,2024-09-03,2024-10-08,84,35,0
283,Netherlands,3,20.0,4,20,5.0,Latin,2019-01-27,2021-08-26,1223,942,2
284,France,4,11.35,4,10,2.84,Blues,2021-03-18,2024-03-02,304,1080,0
285,USA,5,5.53,2,4,2.76,Classical,2022-05-13,2024-11-28,33,930,0
286,USA,5,20.7,6,20,3.45,Hip Hop/Rap,2019-11-15,2022-02-12,1053,820,2
287,USA,4,20.6,6,20,3.43,Alternative & Punk,2019-07-18,2021-01-19,1442,551,2
288,Germany,5,51.16,8,49,6.4,Latin,2022-04-11,2024-11-14,47,948,0
289,USA,4,21.46,7,19,3.07,R&B/Soul,2019-06-03,2022-04-17,989,1049,2
290,Brazil,4,17.55,3,17,5.85,Alternative & Punk,2019-08-08,2020-08-11,1603,369,2
291,Germany,4,3.09,1,3,3.09,Latin,2022-01-07,2024-06-05,209,880,0
292,USA,4,27.3,6,24,4.55,Blues,2019-12-24,2021-07-06,1274,560,2
293,Germany,5,3.34,1,3,3.34,Rock,2022-06-07,2023-03-30,642,296,1
294,India,4,34.6,7,30,4.94,Blues,2017-04-13,2020-01-30,1797,1022,2
295,France,4,1.03,1,1,1.03,Hip Hop/Rap,2019-08-26,2020-08-20,1594,360,2
296,France,3,45.82,10,44,4.58,Metal,2020-08-04,2023-01-16,715,895,1
297,Canada,3,34.39,10,33,3.44,Hip Hop/Rap,2020-07-22,2023-06-16,564,1059,1
298,Belgium,4,9.12,5,9,1.82,Alternative & Punk,2017-11-21,2020-06-18,1657,940,2
299,USA,4,13.3,3,10,4.43,Classical,2017-09-07,2020-05-30,1676,996,2
300,USA,4,19.29,5,19,3.86,Hip Hop/Rap,2019-10-16,2022-09-18,835,1068,2
